state,registrationDeadlineType,dateType,edRelation,time,laws,updateLegal,updateNotes,
Connecticut,Domestic Ballot Return Deadline,Post Received by,ED,,"(a) An absentee ballot shall be cast at a primary, election or referendum only if: (1) It is mailed by (A) the ballot applicant, (B) a designee of a person who applies for an absentee ballot because of illness or physical disability, or (C) a member of the immediate family of an applicant who is a student, so that it is received by the clerk of the municipality in which the applicant is qualified to vote not later than the close of the polls; (2) it is returned by the applicant in person to the clerk by the day before a regular election, special election or primary or prior to the opening of the polls on the day of a referendum; (3) it is returned by a designee of an ill or physically disabled ballot applicant, in person, to said clerk not later than the close of the polls on the day of the election, primary or referendum; (4) it is returned by a member of the immediate family of the absentee voter, in person, to said clerk not later than the close of the polls on the day of the election, primary or referendum; (5) in the case of a presidential or overseas ballot, it is mailed or otherwise returned pursuant to the provisions of section 9-158g; or (6) it is returned with the proper identification as required by the Help America Vote Act, P.L. 107-252, as amended from time to time, if applicable, inserted in the outer envelope so such identification can be viewed without opening the inner envelope. A person returning an absentee ballot to the municipal clerk pursuant to subdivision (3) or (4) of this subsection shall present identification and, on the outer envelope of the absentee ballot, sign his name in the presence of the municipal clerk, and indicate his address, his relationship to the voter or his position, and the date and time of such return. As used in this section, “immediate family” means a dependent relative who resides in the individual's household or any spouse, child or parent of the individual.(Sec. 9-140b)",Same,,
Connecticut,Domestic Ballot Return Deadline,Fax by ,ED,,"(b) A municipal clerk may transmit an application to a person under this subsection by facsimile machine or other electronic means, if so requested by the applicant. If a municipal clerk has a facsimile machine or other electronic means, an applicant may return a completed application to the clerk by such a machine or device, provided the applicant shall also mail the original of the completed application to the clerk, either separately or with the absentee ballot that is issued to the applicant. If the clerk does not receive such original application by the close of the polls on the day of the election, primary or referendum, the absentee ballot shall not be counted.(Sec. 9-140)",Same,,
Connecticut,Domestic Ballot Request Deadline,Blank,ED - 1,,"(h) No absentee ballot shall be issued on the day of an election or primary, or after the opening of the polls on the day of a referendum, except in cases involving unforeseen illness or disability or presidential or overseas ballots as provided in section 9-150c and sections 9-158a to 9-158m, inclusive.(Sec. 9-140)",Same,,
Connecticut,Domestic Registration Deadline,In Person (GE),ED - 7,,"-(a)The session of the registrars of voters on the seventh day before election day shall be the last session for admission of electors prior to an election, as defined in subsection (y) of section 9-1. (2) No town having a population of less than twenty-five thousand persons shall be required to hold sessions for admission of electors on the fourteenth day before primary day.(Sec. 9-17)",Same,https://portal.ct.gov/SOTS/Election-Services/Registration-Deadlines/Registration-Deadlines,
Connecticut,Domestic Registration Deadline(GE),Postmarked by/Received by (GE),ED - 7,,"(2) Except as provided in subdivision (3) of this subsection, if a mailed application is postmarked, or if a delivered application is received in the office of the registrars of voters, after the seventh day before an election or after the fifth day before a primary, the privileges of an elector shall not attach until the day after such election or primary, as the case may be. In such event, the registrars of voters may contact such applicant, either by telephone or mail, in order to inform such applicant of the effect of such late received mail-in application and any applicable deadline for applying for admission in person.(Sec. 9-23g)",Same,,
Connecticut,Domestic Registration Deadline,Postmarked by,ED - 5,,this and below are for primary elections,Same,,
Connecticut,Domestic Registration Deadline,In-Person Received by,(ED - 1),12:00 PM,last business day before primary,,,
Connecticut,Domestic Registration Deadline,Election Day Registration and Voting,ED,,,Same,,
Connecticut,Overseas Ballot Return Deadline,Received by,ED,8:00 PM," The form of absentee ballot application provided by any federal department or agency, referred to in section 9-140, may be used only by a person in any one of the following categories who is eligible to vote and who expects to be unable to appear at his proper polling place for any reason specified in section 9-135: (1) Members of the armed forces [....] (6) overseas citizens qualified to vote under the Uniformed and Overseas Citizens Absentee Voting Act, 100 Stat. 924, 42 USC 1973ff et seq., as amended from time to time. Any such person may apply for an absentee ballot in the manner provided in said section 9-140, either on the form prescribed by the Secretary of the State under said section, or on the application form provided by any federal department or agency herein before referred to.(Sec. 9-153a)",Same,,
Connecticut,Overseas Ballot Request Deadline,Received by,ED,," The form of absentee ballot application provided by any federal department or agency, referred to in section 9-140, may be used only by a person in any one of the following categories who is eligible to vote and who expects to be unable to appear at his proper polling place for any reason specified in section 9-135: (1) Members of the armed forces [....] (6) overseas citizens qualified to vote under the Uniformed and Overseas Citizens Absentee Voting Act, 100 Stat. 924, 42 USC 1973ff et seq., as amended from time to time. Any such person may apply for an absentee ballot in the manner provided in said section 9-140, either on the form prescribed by the Secretary of the State under said section, or on the application form provided by any federal department or agency herein before referred to.(Sec. 9-153a)",Same,,
